day,hour,day_type,vehicles,load_kw,timestamp
0,0,weekday,0,5.17,2025-01-01 00:00:00
0,1,weekday,3,14.76,2025-01-01 01:00:00
0,2,weekday,0,4.46,2025-01-01 02:00:00
0,3,weekday,3,15.0,2025-01-01 03:00:00
0,4,weekday,0,6.96,2025-01-01 04:00:00
0,5,weekday,0,8.46,2025-01-01 05:00:00
0,6,weekday,10,44.83,2025-01-01 06:00:00
0,7,weekday,11,67.11,2025-01-01 07:00:00
0,8,weekday,20,89.95,2025-01-01 08:00:00
0,9,weekday,20,102.78,2025-01-01 09:00:00
0,10,weekday,16,75.48,2025-01-01 10:00:00
0,11,weekday,15,95.3,2025-01-01 11:00:00
0,12,weekday,14,59.87,2025-01-01 12:00:00
0,13,weekday,13,58.32,2025-01-01 13:00:00
0,14,weekday,13,46.75,2025-01-01 14:00:00
0,15,weekday,16,81.15,2025-01-01 15:00:00
0,16,weekday,20,89.41,2025-01-01 16:00:00
0,17,weekday,21,106.89,2025-01-01 17:00:00
0,18,weekday,23,129.25,2025-01-01 18:00:00
0,19,weekday,19,107.13,2025-01-01 19:00:00
0,20,weekday,12,69.28,2025-01-01 20:00:00
0,21,weekday,9,47.23,2025-01-01 21:00:00
0,22,weekday,9,30.96,2025-01-01 22:00:00
0,23,weekday,1,8.21,2025-01-01 23:00:00
1,0,weekday,0,5.89,2025-01-02 00:00:00
1,1,weekday,0,5.43,2025-01-02 01:00:00
1,2,weekday,3,16.2,2025-01-02 02:00:00
1,3,weekday,2,15.83,2025-01-02 03:00:00
1,4,weekday,0,7.24,2025-01-02 04:00:00
1,5,weekday,0,8.15,2025-01-02 05:00:00
1,6,weekday,5,20.88,2025-01-02 06:00:00
1,7,weekday,11,55.48,2025-01-02 07:00:00
1,8,weekday,19,129.59,2025-01-02 08:00:00
1,9,weekday,21,113.26,2025-01-02 09:00:00
1,10,weekday,12,66.85,2025-01-02 10:00:00
1,11,weekday,18,83.07,2025-01-02 11:00:00
1,12,weekday,14,66.04,2025-01-02 12:00:00
1,13,weekday,17,71.56,2025-01-02 13:00:00
1,14,weekday,18,75.22,2025-01-02 14:00:00
1,15,weekday,20,74.51,2025-01-02 15:00:00
1,16,weekday,18,60.91,2025-01-02 16:00:00
1,17,weekday,22,108.59,2025-01-02 17:00:00
1,18,weekday,22,113.83,2025-01-02 18:00:00
1,19,weekday,20,92.57,2025-01-02 19:00:00
1,20,weekday,15,68.8,2025-01-02 20:00:00
1,21,weekday,8,40.7,2025-01-02 21:00:00
1,22,weekday,0,3.72,2025-01-02 22:00:00
1,23,weekday,1,8.12,2025-01-02 23:00:00
2,0,weekend,1,8.94,2025-01-03 00:00:00
2,1,weekend,0,6.69,2025-01-03 01:00:00
2,2,weekend,2,11.76,2025-01-03 02:00:00
