day,hour,day_type,speed_kmh,payload_kg,energy_kwh,timestamp,dow,is_weekend,distance_km,efficiency_kwh_100km,driving_regime
0,0,weekday,0.0,0.0,0.597,2026-01-05 00:00:00,0,0,0.0,,parked
0,1,weekday,0.0,0.0,0.506,2026-01-05 01:00:00,0,0,0.0,,parked
0,2,weekday,0.0,0.0,0.572,2026-01-05 02:00:00,0,0,0.0,,parked
0,3,weekday,0.0,0.0,0.583,2026-01-05 03:00:00,0,0,0.0,,parked
0,4,weekday,0.0,0.0,0.727,2026-01-05 04:00:00,0,0,0.0,,parked
0,5,weekday,87.23,859.9,33.175,2026-01-05 05:00:00,0,0,87.23,38.03,motorway
0,6,weekday,75.19,825.6,26.273,2026-01-05 06:00:00,0,0,75.19,34.94,motorway
0,7,weekday,55.43,790.0,13.936,2026-01-05 07:00:00,0,0,55.43,25.14,suburban
0,8,weekday,34.93,733.6,6.832,2026-01-05 08:00:00,0,0,34.93,19.56,suburban
0,9,weekday,36.11,723.3,6.977,2026-01-05 09:00:00,0,0,36.11,19.32,suburban
0,10,weekday,55.23,650.2,14.144,2026-01-05 10:00:00,0,0,55.23,25.61,suburban
0,11,weekday,75.34,578.9,24.703,2026-01-05 11:00:00,0,0,75.34,32.79,motorway
0,12,weekday,86.12,539.6,34.703,2026-01-05 12:00:00,0,0,86.12,40.3,motorway
0,13,weekday,86.74,527.8,35.251,2026-01-05 13:00:00,0,0,86.74,40.64,motorway
0,14,weekday,83.0,473.6,34.436,2026-01-05 14:00:00,0,0,83.0,41.49,motorway
0,15,weekday,72.56,415.9,19.607,2026-01-05 15:00:00,0,0,72.56,27.02,motorway
0,16,weekday,57.88,365.4,13.989,2026-01-05 16:00:00,0,0,57.88,24.17,suburban
0,17,weekday,36.08,343.5,5.571,2026-01-05 17:00:00,0,0,36.08,15.44,suburban
0,18,weekday,29.19,290.7,5.248,2026-01-05 18:00:00,0,0,29.19,17.98,urban
0,19,weekday,36.29,229.7,5.788,2026-01-05 19:00:00,0,0,36.29,15.95,suburban
0,20,weekday,56.38,215.5,12.349,2026-01-05 20:00:00,0,0,56.38,21.9,suburban
0,21,weekday,73.28,182.6,18.787,2026-01-05 21:00:00,0,0,73.28,25.64,motorway
0,22,weekday,81.93,120.3,25.593,2026-01-05 22:00:00,0,0,81.93,31.24,motorway
0,23,weekday,0.0,0.0,0.649,2026-01-05 23:00:00,0,0,0.0,,parked
1,0,weekday,0.0,0.0,0.575,2026-01-06 00:00:00,1,0,0.0,,parked
1,1,weekday,0.0,0.0,0.561,2026-01-06 01:00:00,1,0,0.0,,parked
1,2,weekday,0.0,0.0,0.583,2026-01-06 02:00:00,1,0,0.0,,parked
1,3,weekday,0.0,0.0,0.553,2026-01-06 03:00:00,1,0,0.0,,parked
1,4,weekday,0.0,0.0,0.63,2026-01-06 04:00:00,1,0,0.0,,parked
1,5,weekday,84.18,1196.6,30.627,2026-01-06 05:00:00,1,0,84.18,36.38,motorway
1,6,weekday,77.74,1125.3,23.05,2026-01-06 06:00:00,1,0,77.74,29.65,motorway
1,7,weekday,55.95,1100.6,10.132,2026-01-06 07:00:00,1,0,55.95,18.11,suburban
1,8,weekday,35.82,1011.7,5.885,2026-01-06 08:00:00,1,0,35.82,16.43,suburban
1,9,weekday,34.67,968.0,6.576,2026-01-06 09:00:00,1,0,34.67,18.97,suburban
1,10,weekday,56.09,882.7,15.875,2026-01-06 10:00:00,1,0,56.09,28.3,suburban
1,11,weekday,78.64,859.6,31.074,2026-01-06 11:00:00,1,0,78.64,39.51,motorway
1,12,weekday,83.52,769.9,35.033,2026-01-06 12:00:00,1,0,83.52,41.95,motorway
1,13,weekday,84.35,735.2,35.054,2026-01-06 13:00:00,1,0,84.35,41.56,motorway
1,14,weekday,81.37,668.6,29.573,2026-01-06 14:00:00,1,0,81.37,36.34,motorway
1,15,weekday,77.41,610.4,27.639,2026-01-06 15:00:00,1,0,77.41,35.7,motorway
1,16,weekday,56.04,525.6,12.005,2026-01-06 16:00:00,1,0,56.04,21.42,suburban
1,17,weekday,36.37,503.0,6.211,2026-01-06 17:00:00,1,0,36.37,17.08,suburban
1,18,weekday,26.45,388.0,4.742,2026-01-06 18:00:00,1,0,26.45,17.93,urban
1,19,weekday,39.23,363.9,7.206,2026-01-06 19:00:00,1,0,39.23,18.37,suburban
1,20,weekday,53.86,281.7,9.904,2026-01-06 20:00:00,1,0,53.86,18.39,suburban
1,21,weekday,71.81,257.6,21.559,2026-01-06 21:00:00,1,0,71.81,30.02,motorway
1,22,weekday,83.5,177.5,33.844,2026-01-06 22:00:00,1,0,83.5,40.53,motorway
1,23,weekday,0.0,0.0,0.647,2026-01-06 23:00:00,1,0,0.0,,parked
2,0,holiday,0.0,0.0,0.563,2026-01-07 00:00:00,2,0,0.0,,parked
2,1,holiday,0.0,0.0,0.572,2026-01-07 01:00:00,2,0,0.0,,parked
2,2,holiday,0.0,0.0,0.6,2026-01-07 02:00:00,2,0,0.0,,parked
2,3,holiday,0.0,0.0,0.637,2026-01-07 03:00:00,2,0,0.0,,parked
2,4,holiday,0.0,0.0,0.745,2026-01-07 04:00:00,2,0,0.0,,parked
2,5,holiday,89.25,279.5,34.177,2026-01-07 05:00:00,2,0,89.25,38.29,motorway
2,6,holiday,88.31,296.5,31.255,2026-01-07 06:00:00,2,0,88.31,35.39,motorway
2,7,holiday,86.2,226.1,26.92,2026-01-07 07:00:00,2,0,86.2,31.23,motorway
2,8,holiday,80.83,234.4,26.891,2026-01-07 08:00:00,2,0,80.83,33.27,motorway
2,9,holiday,80.41,222.5,29.151,2026-01-07 09:00:00,2,0,80.41,36.25,motorway
2,10,holiday,75.12,190.0,17.152,2026-01-07 10:00:00,2,0,75.12,22.83,motorway
2,11,holiday,72.36,211.4,14.958,2026-01-07 11:00:00,2,0,72.36,20.67,motorway
2,12,holiday,71.27,172.8,18.672,2026-01-07 12:00:00,2,0,71.27,26.2,motorway
2,13,holiday,74.87,162.4,20.092,2026-01-07 13:00:00,2,0,74.87,26.84,motorway
2,14,holiday,75.55,155.3,19.724,2026-01-07 14:00:00,2,0,75.55,26.11,motorway
2,15,holiday,78.64,188.3,28.038,2026-01-07 15:00:00,2,0,78.64,35.65,motorway
2,16,holiday,80.99,94.9,22.681,2026-01-07 16:00:00,2,0,80.99,28.0,motorway
2,17,holiday,85.82,95.8,27.456,2026-01-07 17:00:00,2,0,85.82,31.99,motorway
2,18,holiday,85.59,75.3,21.802,2026-01-07 18:00:00,2,0,85.59,25.47,motorway
2,19,holiday,86.81,47.6,20.008,2026-01-07 19:00:00,2,0,86.81,23.05,motorway
2,20,holiday,85.61,47.0,34.596,2026-01-07 20:00:00,2,0,85.61,40.41,motorway
2,21,holiday,86.06,47.8,40.152,2026-01-07 21:00:00,2,0,86.06,46.66,motorway
2,22,holiday,86.46,36.5,45.029,2026-01-07 22:00:00,2,0,86.46,52.08,motorway
2,23,holiday,0.0,0.0,0.606,2026-01-07 23:00:00,2,0,0.0,,parked
3,0,weekday,0.0,0.0,0.544,2026-01-08 00:00:00,3,0,0.0,,parked
3,1,weekday,0.0,0.0,0.54,2026-01-08 01:00:00,3,0,0.0,,parked
3,2,weekday,0.0,0.0,0.634,2026-01-08 02:00:00,3,0,0.0,,parked
3,3,weekday,0.0,0.0,0.643,2026-01-08 03:00:00,3,0,0.0,,parked
3,4,weekday,0.0,0.0,0.684,2026-01-08 04:00:00,3,0,0.0,,parked
3,5,weekday,86.01,736.1,39.325,2026-01-08 05:00:00,3,0,86.01,45.72,motorway
3,6,weekday,77.21,685.9,27.531,2026-01-08 06:00:00,3,0,77.21,35.66,motorway
3,7,weekday,56.85,673.8,14.97,2026-01-08 07:00:00,3,0,56.85,26.33,suburban
3,8,weekday,36.14,605.1,8.222,2026-01-08 08:00:00,3,0,36.14,22.75,suburban
3,9,weekday,35.54,584.6,8.002,2026-01-08 09:00:00,3,0,35.54,22.52,suburban
3,10,weekday,56.68,583.0,12.566,2026-01-08 10:00:00,3,0,56.68,22.17,suburban
3,11,weekday,76.86,522.5,26.576,2026-01-08 11:00:00,3,0,76.86,34.58,motorway
3,12,weekday,85.8,514.3,25.296,2026-01-08 12:00:00,3,0,85.8,29.48,motorway
3,13,weekday,85.92,441.6,29.538,2026-01-08 13:00:00,3,0,85.92,34.38,motorway
3,14,weekday,84.85,417.6,34.436,2026-01-08 14:00:00,3,0,84.85,40.58,motorway
3,15,weekday,73.7,403.9,25.746,2026-01-08 15:00:00,3,0,73.7,34.93,motorway
3,16,weekday,55.19,333.4,13.756,2026-01-08 16:00:00,3,0,55.19,24.92,suburban
3,17,weekday,34.81,310.9,7.24,2026-01-08 17:00:00,3,0,34.81,20.8,suburban
3,18,weekday,29.13,294.7,7.746,2026-01-08 18:00:00,3,0,29.13,26.59,urban
3,19,weekday,36.48,198.0,6.304,2026-01-08 19:00:00,3,0,36.48,17.28,suburban
3,20,weekday,56.59,170.5,13.717,2026-01-08 20:00:00,3,0,56.59,24.24,suburban
3,21,weekday,71.21,134.2,23.379,2026-01-08 21:00:00,3,0,71.21,32.83,motorway
3,22,weekday,83.83,64.9,35.713,2026-01-08 22:00:00,3,0,83.83,42.6,motorway
3,23,weekday,0.0,0.0,0.645,2026-01-08 23:00:00,3,0,0.0,,parked
4,0,weekday,0.0,0.0,0.582,2026-01-09 00:00:00,4,0,0.0,,parked
4,1,weekday,0.0,0.0,0.632,2026-01-09 01:00:00,4,0,0.0,,parked
4,2,weekday,0.0,0.0,0.626,2026-01-09 02:00:00,4,0,0.0,,parked
4,3,weekday,0.0,0.0,0.666,2026-01-09 03:00:00,4,0,0.0,,parked
4,4,weekday,0.0,0.0,0.697,2026-01-09 04:00:00,4,0,0.0,,parked
4,5,weekday,85.95,522.7,33.415,2026-01-09 05:00:00,4,0,85.95,38.88,motorway
4,6,weekday,77.21,533.0,23.774,2026-01-09 06:00:00,4,0,77.21,30.79,motorway
