timestamp,hour,dow,day_type,speed_kmh,payload_kg,forecast_kwh,actual_kwh,error_kwh
2026-05-04 00:00:00,0,0,weekday,0.0,0.0,0.56,0.531,0.029
2026-05-04 01:00:00,1,0,weekday,0.0,0.0,0.535,0.645,-0.11
2026-05-04 02:00:00,2,0,weekday,0.0,0.0,0.592,0.575,0.017
2026-05-04 03:00:00,3,0,weekday,0.0,0.0,0.621,0.619,0.002
2026-05-04 04:00:00,4,0,weekday,0.0,0.0,0.668,0.617,0.051
2026-05-04 05:00:00,5,0,weekday,85.54,1200.0,30.463,27.423,3.04
2026-05-04 06:00:00,6,0,weekday,76.63,1140.0,23.673,21.783,1.89
2026-05-04 07:00:00,7,0,weekday,56.46,1080.0,12.997,12.609,0.388
2026-05-04 08:00:00,8,0,weekday,35.46,1020.0,6.705,6.17,0.535
2026-05-04 09:00:00,9,0,weekday,35.46,960.0,6.71,5.715,0.995
2026-05-04 10:00:00,10,0,weekday,56.45,900.0,12.869,12.77,0.099
2026-05-04 11:00:00,11,0,weekday,76.6,840.0,24.726,21.746,2.98
2026-05-04 12:00:00,12,0,weekday,85.31,780.0,30.077,28.97,1.107
2026-05-04 13:00:00,13,0,weekday,86.41,720.0,34.36,32.327,2.033
2026-05-04 14:00:00,14,0,weekday,82.9,660.0,31.808,25.2,6.608
2026-05-04 15:00:00,15,0,weekday,73.04,600.0,21.335,23.659,-2.324
2026-05-04 16:00:00,16,0,weekday,55.64,540.0,13.284,13.651,-0.367
2026-05-04 17:00:00,17,0,weekday,36.58,480.0,7.011,5.723,1.288
2026-05-04 18:00:00,18,0,weekday,28.0,420.0,5.836,4.994,0.842
2026-05-04 19:00:00,19,0,weekday,36.58,360.0,6.538,5.381,1.157
2026-05-04 20:00:00,20,0,weekday,55.64,300.0,13.143,10.406,2.737
2026-05-04 21:00:00,21,0,weekday,73.04,240.0,20.585,18.291,2.294
2026-05-04 22:00:00,22,0,weekday,82.92,180.0,26.671,29.79,-3.119
2026-05-04 23:00:00,23,0,weekday,0.0,0.0,0.626,0.689,-0.063
